Cust_No,avg_order_size,avg_order_freq,crossbuy,multichannel,per_sale,tenure,return_rate,married,own_home,household_size,loyalty_card,income,age,avg_mktg_cnt,zip_code,segment
1,23.4,2.222222222,3,2,0.0,3,0.117521368,1,1,1,1,35,47,56.0,21230,6
2,34.26037736,6.625,7,2,0.111111111,35,0.281868414,1,1,3,1,140,70,14.91428571,22301,1
3,43.57564103,4.875,5,2,0.074074074,12,0.27417694,1,0,4,0,35,21,20.08333333,19002,2
4,26.31666667,0.9,4,2,0.25,9,0.143550771,0,0,1,1,35,62,8.222222222,22304,3
5,8.269230769,1.083333333,3,1,0.5,40,0.0,0,0,2,0,140,21,1.35,20124,1
6,21.5,0.222222222,1,2,0.0,7,0.0,0,1,1,1,80,21,2.714285714,22033,3
7,35.5,0.1,2,1,0.0,8,0.0,1,0,1,0,70,86,7.25,8757,3
8,20.86,0.833333333,3,2,0.153846154,17,0.0,0,1,1,1,35,70,6.294117647,8109,3
9,74.5,0.1,1,1,0.0,14,1.0,0,1,2,1,35,57,2.5,21122,2
10,18.375,0.5,1,1,0.0,3,0.537414966,0,1,8,1,35,21,15.33333333,21208,3
11,69.0,0.2,1,1,0.0,5,0.0,0,0,3,1,35,21,5.8,21044,2
12,36.33333333,0.6,3,2,0.0,4,0.0,0,1,1,0,100,21,48.0,22153,6
13,26.0725,1.818181818,5,2,0.130434783,33,0.142774955,0,0,1,1,75,65,8.242424242,21158,1
14,38.27469136,3.52173913,4,3,0.244897959,40,0.262365938,1,0,1,1,150,29,8.15,20782,1
15,23.6,2.5,1,2,0.0,3,1.0,0,1,3,1,75,38,2.0,21061,3
16,24.75,0.181818182,2,1,0.0,12,0.0,1,1,5,1,35,21,5.583333333,19114,3
17,6.0,0.222222222,1,1,0.0,3,0.0,1,1,1,1,35,50,12.66666667,19053,3
18,64.0,0.111111111,1,1,0.0,21,0.0,0,0,1,0,125,69,3.238095238,22901,2
19,18.375,0.266666667,2,2,0.0,7,0.0,0,1,8,1,35,34,4.428571429,8873,3
20,26.45892857,1.555555556,4,1,0.222222222,22,0.173449416,1,1,3,1,105,21,7.181818182,19130,1
21,4.666666667,0.136363636,1,1,0.0,7,1.0,0,1,1,0,75,21,4.285714286,20015,3
22,18.0,0.4,1,1,0.0,3,0.0,0,1,5,1,165,48,5.333333333,20005,3
23,25.8,0.65,3,1,0.153846154,9,0.0,0,1,6,0,85,21,20.44444444,22601,3
24,32.54299363,9.8125,7,2,0.21,30,0.358868719,1,0,7,1,125,27,14.26666667,22182,1
25,9.983333333,0.15,1,1,1.0,33,2.136894825,1,0,1,1,175,84,0.939393939,22151,1
26,37.44078014,6.409090909,6,1,0.020833333,18,0.289724672,0,0,1,0,35,64,26.44444444,19002,6
27,37.42142857,0.913043478,4,2,0.25,40,0.06298912,0,0,1,1,175,89,3.975,21036,1
28,40.26333333,1.666666667,5,3,0.190476191,8,0.226012087,1,1,4,1,175,96,19.625,21403,2
29,23.62745098,2.684210526,4,1,0.346153846,40,0.299585062,1,1,5,1,120,21,4.6,21212,1
30,30.14571429,1.590909091,3,2,0.444444444,40,0.127949957,1,1,1,0,110,32,6.575,8361,1
31,29.38888889,0.529411765,2,1,0.0,3,0.559546314,0,1,3,1,175,31,40.0,21029,6
32,50.59666667,0.789473684,1,2,0.090909091,27,0.059292444,0,0,5,1,70,88,7.555555556,22310,2
33,14.93,2.5,1,1,0.166666667,3,0.589194017,0,1,1,1,60,58,26.0,20814,3
34,35.49583333,1.714285714,2,1,0.1,13,0.084516962,0,1,1,0,35,21,5.769230769,19087,3
