"customer_id","revenue","number_of_orders","recency_days","purchase","zip_code","recency_score_indep","frequency_score_indep","monetary_score_indep","rfm_score_indep","recency_score_seq","frequency_score_seq","monetary_score_seq","rfm_score_seq"
1,737.75,19,93,0,22181,4,5,5,"455",4,4,4,"444"
2,299.75,10,419,0,21117,2,4,4,"244",2,5,1,"251"
3,74,1,724,0,20850,1,1,2,"112",1,1,4,"114"
4,178,2,793,0,22032,1,2,3,"123",1,3,5,"135"
5,552.4,15,68,1,8527,4,5,5,"455",4,4,3,"443"
6,137,3,120,0,22124,4,2,3,"423",4,1,5,"415"
7,138.9,3,892,0,21032,1,2,3,"123",1,4,4,"144"
8,39,1,22,0,21210,5,1,1,"511",5,1,2,"512"
9,249.9,5,19,0,20910,5,3,4,"534",5,2,4,"524"
10,238.5,10,133,0,8057,4,4,3,"443",4,3,2,"432"
11,371.3,13,28,0,21014,5,5,4,"554",5,3,3,"533"
12,65,1,317,0,20879,2,1,2,"212",2,1,4,"214"
13,510,15,51,0,19038,5,5,4,"554",5,4,1,"541"
14,45,1,913,0,22310,1,1,1,"111",1,1,3,"113"
15,12.5,1,502,0,8057,2,1,1,"211",2,1,1,"211"
16,29.85,3,60,1,23229,5,2,1,"521",5,1,1,"511"
17,88,2,320,0,8201,2,2,2,"222",2,2,4,"224"
18,29,1,83,0,21234,4,1,1,"411",4,1,1,"411"
19,88,3,260,0,21403,3,2,2,"322",3,2,3,"323"
20,290,4,20,0,21131,5,3,4,"534",5,2,5,"525"
21,95,1,611,0,22903,1,1,2,"112",1,1,5,"115"
22,188,7,258,0,20171,3,4,3,"343",3,4,1,"341"
23,98.85,4,50,0,20902,5,3,2,"532",5,2,1,"521"
24,117,3,270,0,22302,3,2,2,"322",3,2,4,"324"
25,271.9,3,182,1,8043,4,2,4,"424",4,1,5,"415"
26,900.25,24,525,1,22192,2,5,5,"255",2,5,5,"255"
27,266.9,5,212,0,22205,3,3,4,"334",3,3,5,"335"
28,69,1,267,1,8724,3,1,2,"312",3,1,4,"314"
29,860.65,14,24,0,8004,5,5,5,"555",5,3,5,"535"
30,263,9,82,0,22203,4,4,4,"444",4,3,2,"432"
31,25,1,40,0,21228,5,1,1,"511",5,1,1,"511"
32,113.5,3,128,0,20852,4,2,2,"422",4,1,5,"415"
33,44,1,704,0,22180,1,1,1,"111",1,1,3,"113"
34,1249.5,18,127,1,20186,4,5,5,"455",4,4,5,"445"
35,20,1,965,0,19087,1,1,1,"111",1,1,1,"111"
36,19,1,265,0,20770,3,1,1,"311",3,1,1,"311"
37,194,4,933,0,20882,1,3,3,"133",1,4,5,"145"
38,103,2,257,0,8009,3,2,2,"322",3,2,4,"324"
39,609,16,258,0,21784,3,5,5,"355",3,5,3,"353"
40,56,1,32,0,21229,5,1,1,"511",5,1,3,"513"
41,1468.45,22,66,1,21117,4,5,5,"455",4,5,4,"454"
42,770.75,11,255,1,19046,3,4,5,"345",3,5,4,"354"
43,186.35,7,246,0,20194,3,4,3,"343",3,4,1,"341"
44,49,2,827,0,23113,1,2,1,"121",1,3,1,"131"
45,49.5,1,242,0,8088,3,1,1,"311",3,1,4,"314"
46,128,4,282,0,21204,2,3,3,"233",2,3,3,"233"
47,97.95,3,646,0,19130,1,2,2,"122",1,4,3,"143"
48,446.5,12,77,1,8055,4,4,4,"444",4,4,2,"442"
49,218,5,264,0,8088,3,3,3,"333",3,3,4,"334"
50,93,3,22,0,21228,5,2,2,"522",5,1,4,"514"
51,64.4,5,419,0,21401,2,3,2,"232",2,4,1,"241"
52,508,19,92,0,20171,4,5,4,"454",4,4,2,"442"
53,49,1,264,0,8033,3,1,1,"311",3,1,3,"313"
54,2649.95,61,45,0,8742,5,5,5,"555",5,5,5,"555"
55,164,4,96,0,20007,4,3,3,"433",4,2,3,"423"
56,55,2,113,1,8033,4,2,1,"421",4,1,3,"413"
57,29,1,680,0,8016,1,1,1,"111",1,1,1,"111"
58,36,1,688,0,22314,1,1,1,"111",1,1,2,"112"
59,312.5,12,43,0,20187,5,4,4,"544",5,3,2,"532"
60,40,1,757,0,21702,1,1,1,"111",1,1,3,"113"
61,627.95,13,42,0,8690,5,5,5,"555",5,3,5,"535"
62,3517.95,97,18,1,20124,5,5,5,"555",5,5,5,"555"
63,196.65,8,632,0,22192,1,4,3,"143",1,5,3,"153"
64,156.5,3,464,0,22101,2,2,3,"223",2,3,4,"234"
65,49.5,1,658,0,21403,1,1,1,"111",1,1,4,"114"
66,105,4,182,1,21012,4,3,2,"432",4,2,1,"421"
67,667.5,8,706,0,22039,1,4,5,"145",1,5,5,"155"
68,243.95,4,199,0,21209,4,3,4,"434",4,2,4,"424"
69,35,1,390,0,22309,2,1,1,"211",2,1,2,"212"
70,293,4,457,0,18940,2,3,4,"234",2,3,5,"235"
71,577.6,16,207,1,21771,4,5,5,"455",4,4,3,"443"
72,103.9,3,490,0,20852,2,2,2,"222",2,3,2,"232"
73,322,10,269,1,19002,3,4,4,"344",3,4,4,"344"
74,773.55,25,135,1,8361,4,5,5,"455",4,5,1,"451"
75,184,5,259,0,22903,3,3,3,"333",3,3,4,"334"
76,290,7,252,1,20152,3,4,4,"344",3,4,3,"343"
77,3183.15,63,104,1,20186,4,5,5,"455",4,5,5,"455"
78,63.5,2,925,0,20147,1,2,2,"122",1,3,2,"132"
79,69,1,337,1,20007,2,1,2,"212",2,1,4,"214"
80,1472.45,29,28,0,20817,5,5,5,"555",5,5,3,"553"
81,65,2,291,0,19083,2,2,2,"222",2,2,3,"223"
82,66,2,274,0,22043,3,2,2,"322",3,2,2,"322"
83,549.45,8,262,0,21401,3,4,5,"345",3,4,5,"345"
84,133,2,590,0,18901,1,2,3,"123",1,3,5,"135"
85,1560,6,323,0,8204,2,3,5,"235",2,4,5,"245"
86,2018.79,62,18,1,20715,5,5,5,"555",5,5,4,"554"
87,708.35,19,67,0,8053,4,5,5,"455",4,4,4,"444"
88,211.95,2,319,0,23185,2,2,3,"223",2,2,5,"225"
89,612.45,12,260,0,21401,3,4,5,"345",3,5,3,"353"
90,482.9,17,42,1,22031,5,5,4,"554",5,4,1,"541"
91,422.65,14,60,0,22302,5,5,4,"554",5,3,4,"534"
92,204,3,292,0,22101,2,2,3,"223",2,3,5,"235"
93,44,1,689,0,20817,1,1,1,"111",1,1,3,"113"
94,125.5,5,289,1,20874,2,3,3,"233",2,4,1,"241"
95,1972.2,41,138,0,22182,4,5,5,"455",4,5,5,"455"
96,169,3,595,0,22030,1,2,3,"123",1,4,5,"145"
97,1263.35,37,69,0,20171,4,5,5,"455",4,5,3,"453"
98,13.25,3,801,0,21046,1,2,1,"121",1,4,1,"141"
99,398,2,829,0,18940,1,2,4,"124",1,3,5,"135"
100,139.5,4,333,0,20902,2,3,3,"233",2,3,4,"234"
101,154.5,4,638,0,21044,1,3,3,"133",1,4,4,"144"
102,308.5,7,252,0,22308,3,4,4,"344",3,4,3,"343"
103,43.95,2,375,0,21771,2,2,1,"221",2,2,2,"222"
104,168,2,251,0,21093,3,2,3,"323",3,2,5,"325"
105,747,10,387,0,20176,2,4,5,"245",2,5,5,"255"
106,1525.45,14,261,0,22182,3,5,5,"355",3,5,5,"355"
107,39,2,34,0,19114,5,2,1,"521",5,1,2,"512"
108,270.5,8,445,0,8534,2,4,4,"244",2,5,1,"251"
109,179,6,119,0,8527,4,3,3,"433",4,2,3,"423"
110,39.5,2,390,0,20165,2,2,1,"221",2,2,1,"221"
111,345,2,959,0,20854,1,2,4,"124",1,3,5,"135"
112,0,2,615,0,21209,1,2,1,"121",1,3,1,"131"
113,267.7,7,79,0,22003,4,4,4,"444",4,3,2,"432"
114,75.95,2,632,0,22302,1,2,2,"122",1,3,3,"133"
115,431.5,12,88,0,20855,4,4,4,"444",4,4,2,"442"
116,29,1,282,0,19046,2,1,1,"211",2,1,2,"212"
117,476.75,10,23,0,19083,5,4,4,"544",5,3,4,"534"
118,358.75,6,578,0,8620,1,3,4,"134",1,5,4,"154"
119,143,5,75,1,8690,4,3,3,"433",4,2,3,"423"
120,1056.8,20,276,1,22309,3,5,5,"355",3,5,5,"355"
121,167,3,275,0,21060,3,2,3,"323",3,2,5,"325"
122,208.95,4,175,1,8096,4,3,3,"433",4,2,4,"424"
123,350.5,6,228,0,19067,3,3,4,"334",3,4,4,"344"
124,165,4,402,0,20879,2,3,3,"233",2,3,4,"234"
125,930.95,16,141,0,20814,4,5,5,"455",4,4,5,"445"
126,1884.65,42,5,1,20111,5,5,5,"555",5,5,4,"554"
127,119,1,293,0,8021,2,1,2,"212",2,1,5,"215"
128,29,1,186,0,8034,4,1,1,"411",4,1,1,"411"
129,3646.9,61,29,0,19004,5,5,5,"555",5,5,5,"555"
130,72,2,661,0,21114,1,2,2,"122",1,3,3,"133"
131,481.95,5,100,1,22150,4,3,4,"434",4,2,5,"425"
132,535.45,13,108,0,8721,4,5,5,"455",4,4,3,"443"
133,174.85,4,589,0,22903,1,3,3,"133",1,4,5,"145"
134,879,22,238,0,22003,3,5,5,"355",3,5,4,"354"
135,378.5,4,649,0,20191,1,3,4,"134",1,4,5,"145"
136,367.4,7,89,0,20855,4,4,4,"444",4,3,4,"434"
137,98,1,488,0,21228,2,1,2,"212",2,1,5,"215"
138,129,1,247,0,19135,3,1,3,"313",3,1,5,"315"
139,244.5,5,194,0,8043,4,3,4,"434",4,2,4,"424"
140,528,11,137,0,8043,4,4,4,"444",4,4,3,"443"
141,100,3,702,0,22302,1,2,2,"122",1,4,3,"143"
142,57,1,878,0,19154,1,1,1,"111",1,1,4,"114"
143,162.85,5,643,0,22911,1,3,3,"133",1,5,2,"152"
144,188,2,257,0,21401,3,2,3,"323",3,2,5,"325"
145,58,2,289,0,8062,2,2,1,"221",2,2,2,"222"
146,545.55,13,216,0,8540,3,5,5,"355",3,5,2,"352"
147,1877.7,41,101,1,8055,4,5,5,"455",4,5,5,"455"
148,230.5,6,48,1,8088,5,3,3,"533",5,2,4,"524"
149,64.45,3,27,0,22601,5,2,2,"522",5,1,3,"513"
150,305,5,669,0,21234,1,3,4,"134",1,5,4,"154"
151,39.5,2,31,0,20115,5,2,1,"521",5,1,2,"512"
