"day","date","quantity","price","revenue","digital_ad","digital_search","print","tv","ln_quantity","ln_price","ln_digital_ad","ln_digital_search","ln_print","ln_tv","lln_quantity","weekdays","ln_digital","pred_quantity"
1,"2018-01-01",81,363.33,29429.73,1576,1300,967,6661,4.39444915467244,5.89531151220107,7.36264527041782,7.17011954344963,6.87523208727658,8.80402490241318,0,"Monday",7.96415571884094,3.64316240595781
2,"2018-01-02",115,346.09,39800.35,1732,1513,967,8209,4.74493212836325,5.84669885684046,7.45703208912238,7.32184971378836,6.87523208727658,9.01298639234827,4.39444915467244,"Tuesday",8.08487062913819,104.564786854602
3,"2018-01-03",90,340.74,30666.6,1869,1547,967,6093,4.49980967033027,5.8311197231174,7.53315880745556,7.34407285057307,6.87523208727658,8.71489585024849,4.74493212836325,"Wednesday",8.13622555490846,105.450797575032
4,"2018-01-04",83,343.18,28483.94,1524,1485,967,6414,4.4188406077966,5.83825509085747,7.32909373624659,7.3031700512368,6.87523208727658,8.7662383802531,4.49980967033027,"Thursday",8.00936307663004,88.6900841713159
5,"2018-01-05",85,336.83,28630.55,1051,1389,967,7445,4.44265125649032,5.81957835203556,6.95749737087695,7.23633934275434,6.87523208727658,8.91529794511811,4.4188406077966,"Friday",7.79975331828725,83.3600495167547
6,"2018-01-06",83,329.43,27342.69,894,1184,967,8705,4.4188406077966,5.79736388827773,6.79570577517351,7.07665381544395,6.87523208727658,9.07165285220229,4.44265125649032,"Saturday",7.63916117165917,95.2375674793309
7,"2018-01-07",70,351.87,24630.9,812,1162,967,12369,4.24849524204936,5.86326178920152,6.69950034016168,7.05789793741186,6.87523208727658,9.42294862137501,4.4188406077966,"Sunday",7.58781721999343,65.2555645790281
8,"2018-01-08",72,348.05,25059.6,844,1478,967,7808,4.27666611901606,5.85234614761468,6.73815249459596,7.29844510150815,6.87523208727658,8.96290412809293,4.24849524204936,"Monday",7.75018416225784,78.8155545438348
9,"2018-01-09",87,334.58,29108.46,857,1300,967,6194,4.46590811865458,5.81287601390313,6.75343791859778,7.17011954344963,6.87523208727658,8.73133636053315,4.27666611901606,"Tuesday",7.67647364638916,93.0456177468186
10,"2018-01-10",93,339.02,31528.86,1067,1313,967,7150,4.53259949315326,5.82605910269034,6.97260625130175,7.1800698743028,6.87523208727658,8.87486763568805,4.46590811865458,"Wednesday",7.77485576666552,84.2506251408693
